"Date","Price","Open","High","Low","Vol.","Change.."
2018-05-23,118.61,128.16,129.42,116.67,"1.32M","-7.45%"
2018-05-22,128.16,134.13,135.9,127.74,"793.63K","-4.45%"
2018-05-21,134.13,139.72,140.26,134.03,"754.40K","-4.04%"
2018-05-20,139.79,135.16,140.57,132.77,"892.22K","3.42%"
2018-05-19,135.16,136.07,137.66,133.07,"885.65K","-0.66%"
2018-05-18,136.06,132.65,137.51,129.18,"1.17M","2.59%"
2018-05-17,132.63,139.26,141.44,131.64,"1.02M","-4.76%"
2018-05-16,139.26,139.49,140.92,134.72,"1.03M","-0.17%"
2018-05-15,139.5,147.4,149.55,137.95,"1.22M","-5.36%"
2018-05-14,147.4,144.46,152.63,134.68,"1.92M","2.03%"
2018-05-13,144.46,141.8,146.77,136.79,"1.14M","2.06%"
2018-05-12,141.54,136.31,144.51,131.07,"1.34M","3.91%"
2018-05-11,136.21,148.42,148.61,133.7,"1.87M","-8.24%"
2018-05-10,148.44,156.91,160.62,148.06,"1.15M","-5.39%"
2018-05-09,156.9,159.09,160.09,151.18,"1.20M","-1.37%"
2018-05-08,159.08,166.33,166.71,157.55,"1.31M","-4.18%"
2018-05-07,166.02,172.19,172.56,157.85,"1.65M","-3.61%"
2018-05-06,172.24,178.61,183.88,165.4,"1.70M","-3.52%"
2018-05-05,178.53,169.14,183.51,168.25,"1.89M","5.61%"
2018-05-04,169.04,161.25,171.3,157.61,"1.75M","4.83%"
2018-05-03,161.25,151.72,164.61,150.77,"1.76M","6.28%"
2018-05-02,151.72,148.16,153.52,146.48,"846.02K","2.37%"
2018-05-01,148.21,148.3,148.72,142.92,"1.01M","-0.08%"
2018-04-30,148.33,153.5,154.48,147.29,"943.45K","-3.36%"
2018-04-29,153.48,152.14,156.39,148.05,"1.13M","0.88%"
2018-04-28,152.14,146.02,153.42,144.98,"1.04M","4.22%"
2018-04-27,145.98,153.64,153.7,145.37,"1.34M","-5.00%"
2018-04-26,153.67,144.83,154.42,142.34,"1.32M","6.09%"
2018-04-25,144.85,164.71,164.74,141.79,"2.49M","-12.03%"
2018-04-24,164.65,152.59,166.03,152.53,"2.08M","7.90%"
2018-04-23,152.59,146.55,153.22,146.3,"1.12M","4.11%"
2018-04-22,146.58,148.61,152.94,144.85,"1.06M","-1.42%"
2018-04-21,148.69,155.65,156.82,141.03,"1.68M","-4.48%"
2018-04-20,155.66,146.44,156.3,143.44,"1.61M","6.29%"
2018-04-19,146.44,140.43,147.47,138.87,"1.31M","4.28%"
2018-04-18,140.43,132.2,141.34,132.1,"1.32M","6.13%"
2018-04-17,132.31,128.77,140.32,128.74,"1.99M","2.79%"
2018-04-16,128.72,132.52,133.23,125.18,"1.10M","-2.87%"
2018-04-15,132.53,126.52,132.71,126.52,"1.01M","4.75%"
2018-04-14,126.51,125.39,129.65,124.48,"973.59K","0.90%"
2018-04-13,125.39,129.68,133.65,124.1,"2.10M","-3.30%"
