Date;AQ232683
14.12.2022;82,872
13.12.2022;82,258
12.12.2022;81,607
09.12.2022;81,021
08.12.2022;83,79
07.12.2022;82,357
06.12.2022;81,964
05.12.2022;83,019
02.12.2022;81,631
01.12.2022;80,445
30.11.2022;77,431
29.11.2022;75,625
28.11.2022;76,288
25.11.2022;75,444
23.11.2022;74,831
22.11.2022;72,787
21.11.2022;71,466
18.11.2022;71,671
17.11.2022;71,849
16.11.2022;72,077
15.11.2022;70,746
14.11.2022;68,194
10.11.2022;63,181
09.11.2022;61,589
08.11.2022;61,6
07.11.2022;60,351
04.11.2022;60,253
03.11.2022;60,103
02.11.2022;60,706
01.11.2022;59,501
31.10.2022;58,846
28.10.2022;59,471
27.10.2022;60,556
26.10.2022;61,231
25.10.2022;60,569
24.10.2022;60,225
21.10.2022;62,129
20.10.2022;63,197
19.10.2022;63,79
18.10.2022;65,169
17.10.2022;65,167
14.10.2022;65,801
13.10.2022;67,67
12.10.2022;68,339
11.10.2022;68,087
07.10.2022;69,971
06.10.2022;70,788
05.10.2022;71,649
04.10.2022;72,295
03.10.2022;72,476
30.09.2022;71,264
29.09.2022;72,211
28.09.2022;73,614
27.09.2022;72,284
26.09.2022;73,796
23.09.2022;75,769
22.09.2022;75,392
21.09.2022;76,901
20.09.2022;75,893
19.09.2022;77,12
16.09.2022;77,136
15.09.2022;77,549
14.09.2022;77,322
13.09.2022;78,695
12.09.2022;77,705
09.09.2022;78,196
08.09.2022;77,87
07.09.2022;78,395
06.09.2022;77,683
02.09.2022;79,616
01.09.2022;79,182
31.08.2022;79,969
30.08.2022;80,664
29.08.2022;80,377
26.08.2022;81,548
25.08.2022;80,871
24.08.2022;79,42
23.08.2022;80,166
22.08.2022;80,652
19.08.2022;80,317
18.08.2022;82,023
17.08.2022;81,557
16.08.2022;82,42
15.08.2022;82,319
12.08.2022;82,59
11.08.2022;81,191
10.08.2022;83,368
09.08.2022;82,626
08.08.2022;82,629
05.08.2022;82,052
04.08.2022;82,669
03.08.2022;84,401
02.08.2022;82,014
01.08.2022;84,001
29.07.2022;82,926
28.07.2022;82,792
27.07.2022;81,602
26.07.2022;82,808
25.07.2022;81,74
22.07.2022;82,309
21.07.2022;81,49
20.07.2022;79,905
19.07.2022;79,675
18.07.2022;79,688
15.07.2022;81,275
14.07.2022;80,707
13.07.2022;81,369
12.07.2022;81,125
11.07.2022;80,965
08.07.2022;79,929
07.07.2022;80,791
06.07.2022;81,642
05.07.2022;83,472
01.07.2022;82,743
30.06.2022;82,244
29.06.2022;81,609
28.06.2022;81,539
27.06.2022;81,505
24.06.2022;82,036
23.06.2022;82,999
22.06.2022;83,089
21.06.2022;81,596
17.06.2022;82,396
16.06.2022;82,741
15.06.2022;81,79
14.06.2022;80,253
13.06.2022;82,801
10.06.2022;85,684
09.06.2022;86,723
08.06.2022;84,741
07.06.2022;84,076
06.06.2022;81,311
03.06.2022;83,114
02.06.2022;83,24
01.06.2022;83,664
31.05.2022;83,722
27.05.2022;82,755
26.05.2022;82,773
25.05.2022;82,034
24.05.2022;81,128
23.05.2022;80,437
20.05.2022;81,168
19.05.2022;80,732
18.05.2022;80,461
17.05.2022;78,951
16.05.2022;79,649
13.05.2022;80,486
12.05.2022;81,676
11.05.2022;81,284
10.05.2022;82,051
09.05.2022;81,834
06.05.2022;80,948
05.05.2022;82,619
04.05.2022;83,725
03.05.2022;84,176
02.05.2022;84,7
29.04.2022;84,972
28.04.2022;85,547
27.04.2022;85,094
26.04.2022;87,244
25.04.2022;86,213
22.04.2022;87,575
21.04.2022;88,177
20.04.2022;88,39
19.04.2022;87,551
18.04.2022;88,332
14.04.2022;88,029
13.04.2022;89,854
12.04.2022;90,146
11.04.2022;90,985
08.04.2022;92,607
07.04.2022;92,276
06.04.2022;93,111
05.04.2022;94,202
04.04.2022;95,775
01.04.2022;96,17
31.03.2022;95,428
30.03.2022;94,804
29.03.2022;93,422
28.03.2022;94,018
25.03.2022;93,631
24.03.2022;94,458
23.03.2022;95,598
22.03.2022;93,085
21.03.2022;95,889
18.03.2022;96,947
17.03.2022;94,065
16.03.2022;87,852
15.03.2022;82,982
14.03.2022;84,607
11.03.2022;89,674
10.03.2022;90,42
09.03.2022;92,091
08.03.2022;94,191
07.03.2022;95,607
04.03.2022;97,759
03.03.2022;96,38
02.03.2022;97,191
01.03.2022;99,063
28.02.2022;98,408
25.02.2022;98,093
24.02.2022;97,85
23.02.2022;100,105
22.02.2022;99,809
18.02.2022;102,329
17.02.2022;101,959
16.02.2022;101,336
15.02.2022;101,347
14.02.2022;102,857
11.02.2022;103,984
10.02.2022;102,936
09.02.2022;104,163
08.02.2022;103,838
07.02.2022;104,042
04.02.2022;105,806
03.02.2022;107,055
02.02.2022;107,938
01.02.2022;107,688
31.01.2022;107,966
28.01.2022;108,171
27.01.2022;107,692
26.01.2022;106,868
25.01.2022;108,213
24.01.2022;107,862
21.01.2022;108,95
20.01.2022;108,476
19.01.2022;107,127
18.01.2022;106,932
14.01.2022;108,889
13.01.2022;110,583
12.01.2022;110,427
11.01.2022;110,866
10.01.2022;110,03
07.01.2022;109
06.01.2022;110,612
05.01.2022;110,093
04.01.2022;111,704
03.01.2022;111,589
31.12.2021;114,464
30.12.2021;114,492
29.12.2021;113,058
28.12.2021;114,548
27.12.2021;114,722
23.12.2021;115,832
22.12.2021;116,124
21.12.2021;116,266
20.12.2021;115,769
17.12.2021;116,745
16.12.2021;116,301
15.12.2021;116,562
14.12.2021;116,979
13.12.2021;116,978
10.12.2021;116,779
09.12.2021;115,52
08.12.2021;115,25
07.12.2021;118,168
06.12.2021;118,002
03.12.2021;119,409
02.12.2021;118,222
01.12.2021;119,369
30.11.2021;117,218
29.11.2021;116,085
26.11.2021;116,948
24.11.2021;114,32
23.11.2021;113,2
22.11.2021;114,941
19.11.2021;115,583
18.11.2021;115,065
17.11.2021;114,312
16.11.2021;113,334
15.11.2021;113,713
12.11.2021;114,879
10.11.2021;115,533
09.11.2021;116,25
08.11.2021;116,479
05.11.2021;116,653
04.11.2021;115,711
03.11.2021;114,128
02.11.2021;114,436
01.11.2021;115,594
29.10.2021;115,849
28.10.2021;115,509
27.10.2021;115,6
26.10.2021;113,688
25.10.2021;112,598
22.10.2021;111,841
21.10.2021;110,216
20.10.2021;110,811
19.10.2021;113,132
18.10.2021;111,905
15.10.2021;111,902
14.10.2021;112,107
13.10.2021;110,813
12.10.2021;110,444
08.10.2021;110,435
07.10.2021;111,129
06.10.2021;113,577
05.10.2021;114,156
04.10.2021;115,905
01.10.2021;116,632
30.09.2021;116,064
29.09.2021;114,926
28.09.2021;115,144
27.09.2021;117,647
24.09.2021;117,31
23.09.2021;118,932
22.09.2021;121,157
